nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Cori Mori Tipe Besar Kelapa Gading Jakarta Utara,1750000,12.0,1.1269075442564775,putri,1,1,0,1,1,0,0,0
Kost Pulomas IC 3 Tipe B Pulo Gadung Jakarta Timur,1500000,9.0,2.622912805173516,putri,1,0,0,1,1,1,0,0
Kost Omah Ida Tipe A Kelapa Gading Jakarta Utara,1800000,12.0,0.3479732936059714,campur,1,0,0,1,1,1,1,1
Kost Faith House Kelapa Gading Jakarta Utara,1650000,9.0,1.8474813785925688,putra,1,0,0,1,1,0,1,1
Kost Gading Surya Tipe Twin Bed Kelapa Gading Jakarta Utara,950000,6.0,0.9715020715256908,campur,1,0,0,1,1,1,0,0
Kost Mimi Tipe C Kelapa Gading Jakarta Utara,1900000,9.0,1.6893542313607188,putri,1,0,0,1,1,0,0,0
Kost Mimi Kmr G Kelapa Gading Jakarta Utara,2000000,9.0,1.6893509730227465,putri,1,0,1,1,1,0,1,1
Kost Diva Tipe A Pulo Gadung Jakarta Timur,1150000,9.0,2.625188495949493,campur,1,0,0,1,1,1,1,0
Kost Rizky Kelapa Gading Jakarta Utara,1600000,8.0,1.5067249550496626,campur,1,1,0,1,1,1,0,0
Kost Kompleks HII A13 Kelapa Gading Jakarta Utara,1800000,9.0,2.097584304757017,campur,1,1,0,1,1,0,0,0
Kost Kelapa Puan Timur Tipe Warm Room Kelapa Gading Jakarta Utara,695000,5.0,1.0646564331835884,putri,1,0,0,1,1,1,0,1
Kost Boulevard Kelapa Gading Jakarta Utara,2100000,12.0,0.6976030681843626,campur,1,1,1,1,1,0,1,1
Kost Cori Mori Tipe Kecil Kelapa Gading Jakarta Utara,1250000,8.4,1.1269075442564775,putri,1,1,0,1,1,0,0,0
Kost Gading Pavillion Tipe B Kelapa Gading Jakarta Utara,1600000,9.0,1.023006918854571,putri,1,0,1,1,1,0,0,1
Kost Kelapa Puan Timur Tipe A Kelapa Gading Jakarta Utara,650000,5.0,1.0601970680948565,putri,1,0,0,1,1,1,0,1
Kost De Alcatraz 2 Tipe Aranjuez Kelapa Gading Jakarta Utara,2700000,9.8,0.8023064944152195,campur,1,1,1,1,1,0,1,0
Kost Musik Raya Tipe B Kelapa Gading Jakarta Utara,1000000,6.0,1.5678290688357015,campur,1,0,0,1,1,1,0,1
Kost Chrysant Home BR 1 Tipe B Kelapa Gading Jakarta Utara,1100000,4.0,1.331746105347963,campur,1,0,0,1,1,0,0,1
Kost Yudhistira Tipe A Kelapa Gading Jakarta Utara,1250000,9.0,1.5135145041984006,campur,1,0,0,1,1,1,1,1
Kost The Good Living Tipe A Kelapa Gading Jakarta Utara,2100000,5.95,1.875865122244679,campur,1,1,1,1,1,0,1,0
Kost Cengkir Kelapa Gading Jakarta Utara,1600000,9.0,0.5321414164264081,campur,1,0,0,1,1,0,1,1
Kost Royale Tipe A Kelapa Gading Jakarta Utara,2800000,12.0,0.9081861481257244,campur,1,1,0,1,1,0,1,0
Kost Gading Surya Tipe Clean Room Kelapa Gading Jakarta Utara,950000,5.0,0.9715020715256908,campur,1,0,0,1,1,1,0,0
Kost Gading Surya Tipe B Kelapa Gading Jakarta Utara,850000,5.0,0.9715020715255296,campur,1,0,0,0,1,1,0,0
Kost Kelapa Cengkir Barat Jakarta Utara,1850000,9.0,0.6986367809105125,campur,1,0,1,1,1,1,0,1
Kost The Mansions Tipe B 1 Kelapa Gading Jakarta Utara,1850000,9.0,0.873925361470678,campur,1,1,1,1,1,0,0,1
Kost Asya Tipe C Kelapa Gading Jakarta Utara,1850000,9.0,0.7377938084738008,campur,1,1,1,1,1,0,1,0
Kost Royale Tipe Standart Kelapa Gading Jakarta Utara,1700000,6.0,0.9078864183734676,campur,1,1,0,1,1,0,1,0
Kost Gambyong Tipe A Kelapa Gading Jakarta Utara,1600000,9.0,0.773063456077754,campur,1,1,0,1,1,0,0,0
Kost Harpa Kelapa Gading Jakarta Utara,2000000,10.5,1.519328613747548,putri,1,1,0,1,1,0,0,1
